,train_image,train_mask,val_image,val_mask,test_image,test_mask
0,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0006.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0006.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0001.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0001.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0000.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0000.npy
1,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0008.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0008.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0002.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0002.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0009.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0009.npy
2,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0012.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0012.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0003.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0003.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0010.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0010.npy
3,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0014.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0014.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0004.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0004.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0016.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0016.npy
4,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0017.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0017.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0005.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0005.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0018.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0018.npy
5,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0019.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0019.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0007.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0007.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0020.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0020.npy
6,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0023.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0023.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0011.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0011.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0024.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0024.npy
7,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0026.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0026.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0013.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0013.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0025.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0025.npy
8,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0029.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0029.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0015.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0015.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0028.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0028.npy
9,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0030.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0030.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0021.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0021.npy,/data114_2/shaozc/CellHE/CoNIC/images/crag_1-0035.png,/data114_2/shaozc/CellHE/CoNIC/labels/crag_1-0035.npy
