,train_image,train_mask,val_image,val_mask,test_image,test_mask
0,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_20_256_0_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_20_256_0_558_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_2_256_186_744_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_2_256_186_744_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_5_256_0_372_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_5_256_0_372_186_186_.npy
1,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_21_256_744_372_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_21_256_744_372_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_19_256_0_372_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_19_256_0_372_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_12_256_186_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_12_256_186_558_186_186_.npy
2,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_8_256_744_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_8_256_744_558_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_3_256_744_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_3_256_744_558_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_12_256_0_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_12_256_0_558_186_186_.npy
3,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_11_256_558_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_11_256_558_186_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_25_256_372_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_25_256_372_186_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_4_256_372_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_4_256_372_558_186_186_.npy
4,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_15_256_558_0_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_15_256_558_0_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_8_256_0_744_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_8_256_0_744_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_6_256_0_744_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_6_256_0_744_186_186_.npy
5,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_14_256_558_744_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_14_256_558_744_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_26_256_0_0_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_26_256_0_0_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_4_256_0_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_4_256_0_186_186_186_.npy
6,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_3_256_744_0_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_3_256_744_0_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_17_256_0_0_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_17_256_0_0_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_14_256_372_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_14_256_372_558_186_186_.npy
7,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_11_256_744_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_11_256_744_186_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_5_256_0_744_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_5_256_0_744_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_10_256_0_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_10_256_0_186_186_186_.npy
8,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_11_256_558_372_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_11_256_558_372_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_22_256_558_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_22_256_558_186_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_12_256_744_558_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_12_256_744_558_186_186_.npy
9,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_25_256_372_372_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_25_256_372_372_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Train_split/train_24_256_558_186_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/train_24_256_558_186_186_186_.npy,/data114_2/shaozc/CellHE/Consep/CoNSeP/Test_split/test_2_256_0_0_186_186_.png,/data114_2/shaozc/CellHE/Consep/CoNSeP/mask_split/test_2_256_0_0_186_186_.npy
