,train_image,train_mask,val_image,val_mask,test_image,test_mask
0,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-BH-A18T-01Z-00-DX1_6_256_714_235_238_235_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-BH-A18T-01Z-00-DX1_6_256_714_235_238_235_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-S3-AA11-01Z-00-DX1_4_256_190_531_190_177_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-S3-AA11-01Z-00-DX1_4_256_190_531_190_177_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-X4-A8KS-01Z-00-DX3_1_256_177_199_177_199_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-X4-A8KS-01Z-00-DX3_1_256_177_199_177_199_.npy
1,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-S3-AA11-01Z-00-DX1_2_256_0_968_223_242_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-S3-AA11-01Z-00-DX1_2_256_0_968_223_242_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-E9-A22B-01Z-00-DX1_1_256_0_968_228_242_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-E9-A22B-01Z-00-DX1_1_256_0_968_228_242_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-D8-A3Z6-01Z-00-DX2_004_256_9_94_9_94_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-D8-A3Z6-01Z-00-DX2_004_256_9_94_9_94_.npy
2,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-5P-A9K0-01Z-00-DX1_1_256_840_672_210_224_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-5P-A9K0-01Z-00-DX1_1_256_840_672_210_224_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-EJ-5495-01Z-00-DX1-2_256_448_255_224_255_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-EJ-5495-01Z-00-DX1-2_256_448_255_224_255_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-VP-A87H-01Z-00-DX1_2_256_0_211_240_211_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-VP-A87H-01Z-00-DX1_2_256_0_211_240_211_.npy
3,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-MP-A4T7-01Z-00-DX1_3_256_654_594_218_198_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-MP-A4T7-01Z-00-DX1_3_256_654_594_218_198_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-S3-AA11-01Z-00-DX1_4_256_190_177_190_177_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-S3-AA11-01Z-00-DX1_4_256_190_177_190_177_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-IZ-A6M9-01Z-00-DX1_2_256_1240_0_248_248_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-IZ-A6M9-01Z-00-DX1_2_256_1240_0_248_248_.npy
4,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-86-8672-01Z-00-DX1_2_256_984_0_246_243_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-86-8672-01Z-00-DX1_2_256_984_0_246_243_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-E9-A22B-01Z-00-DX1_8_256_462_1050_231_210_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-E9-A22B-01Z-00-DX1_8_256_462_1050_231_210_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-F9-A8NY-01Z-00-DX1_3_256_360_155_180_155_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-F9-A8NY-01Z-00-DX1_3_256_360_155_180_155_.npy
5,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-UZ-A9PO-01Z-00-DX1_3_256_0_0_220_231_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-UZ-A9PO-01Z-00-DX1_3_256_0_0_220_231_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-EJ-5517-01Z-00-DX1-4_256_1260_1225_252_245_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-EJ-5517-01Z-00-DX1-4_256_1260_1225_252_245_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-EW-A6SB-01Z-00-DX1_005_256_77_59_77_59_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-EW-A6SB-01Z-00-DX1_005_256_77_59_77_59_.npy
6,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-B9-A8YI-01Z-00-DX1_2_256_196_585_196_195_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-B9-A8YI-01Z-00-DX1_2_256_196_585_196_195_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-69-7760-01Z-00-DX1_004_256_384_0_192_192_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-69-7760-01Z-00-DX1_004_256_384_0_192_192_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-DW-7838-01Z-00-DX1_1_256_210_322_210_161_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-DW-7838-01Z-00-DX1_1_256_210_322_210_161_.npy
7,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-V1-A8WL-01Z-00-DX1-1_256_0_167_242_167_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-V1-A8WL-01Z-00-DX1-1_256_0_167_242_167_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-EJ-5495-01Z-00-DX1-1_256_1135_1165_227_233_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-EJ-5495-01Z-00-DX1-1_256_1135_1165_227_233_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-VP-A87H-01Z-00-DX1_2_256_1200_0_240_211_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-VP-A87H-01Z-00-DX1_2_256_1200_0_240_211_.npy
8,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-KK-A7AW-01Z-00-DX1-1_256_0_260_136_130_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-KK-A7AW-01Z-00-DX1-1_256_0_260_136_130_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-E9-A22B-01Z-00-DX1_1_256_912_1452_228_242_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-E9-A22B-01Z-00-DX1_1_256_912_1452_228_242_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-G9-6367-01Z-00-DX1_7_256_452_0_226_188_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-G9-6367-01Z-00-DX1_7_256_452_0_226_188_.npy
9,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-J4-A67T-01Z-00-DX1-2_256_414_621_207_207_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-J4-A67T-01Z-00-DX1-2_256_414_621_207_207_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Train_split/TCGA-G7-A8LD-01Z-00-DX1_2_256_0_84_0_84_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-G7-A8LD-01Z-00-DX1_2_256_0_84_0_84_.npy,/data114_2/shaozc/CellHE/MoNuSAC/Test_split/TCGA-73-4662-01Z-00-DX1_003_256_478_1992_239_249_.png,/data114_2/shaozc/CellHE/MoNuSAC/mask_split/TCGA-73-4662-01Z-00-DX1_003_256_478_1992_239_249_.npy
