,train_image,train_mask,val_image,val_mask,test_image,test_mask
0,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Thyroid_1016.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Thyroid_1016.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Bile-duct_1617.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Bile-duct_1617.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Pancreatic_2193.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Pancreatic_2193.npy
1,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Breast_6.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Breast_6.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Bile-duct_1610.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Bile-duct_1610.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Skin_2283.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Skin_2283.npy
2,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Breast_272.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Breast_272.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_844.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_844.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_6.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_6.npy
3,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/HeadNeck_2040.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/HeadNeck_2040.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Bile-duct_1604.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Bile-duct_1604.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_272.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_272.npy
4,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Liver_2167.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Liver_2167.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_2614.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_2614.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Colon_1678.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Colon_1678.npy
5,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Pancreatic_2328.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Pancreatic_2328.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Breast_6.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Breast_6.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_398.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_398.npy
6,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Lung_938.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Lung_938.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_1955.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_1955.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Esophagus_999.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Esophagus_999.npy
7,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Thyroid_2494.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Thyroid_2494.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Breast_272.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Breast_272.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_234.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_234.npy
8,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Breast_398.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Breast_398.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Stomach_2489.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Stomach_2489.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/HeadNeck_1958.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/HeadNeck_1958.npy
9,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Uterus_2590.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Uterus_2590.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Pancreatic_2328.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Pancreatic_2328.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Colon_850.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Colon_850.npy
10,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Uterus_962.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Uterus_962.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_2018.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_2018.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Thyroid_2403.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Thyroid_2403.npy
11,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Colon_1832.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Colon_1832.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Breast_398.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Breast_398.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Kidney_801.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Kidney_801.npy
12,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Adrenal_gland_1139.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Adrenal_gland_1139.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Uterus_2590.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Uterus_2590.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Colon_2449.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Colon_2449.npy
13,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Prostate_2367.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Prostate_2367.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Esophagus_999.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Esophagus_999.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Testis_1228.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Testis_1228.npy
14,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Breast_234.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Breast_234.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_1832.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_1832.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_248.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_248.npy
15,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Colon_1392.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Colon_1392.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Prostate_2367.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Prostate_2367.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Bile-duct_1267.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Bile-duct_1267.npy
16,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/HeadNeck_2088.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/HeadNeck_2088.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Breast_234.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Breast_234.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Bile-duct_1197.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Bile-duct_1197.npy
17,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Testis_2460.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Testis_2460.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_850.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_850.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Pancreatic_2183.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Pancreatic_2183.npy
18,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Stomach_2439.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Stomach_2439.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Skin_2431.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Skin_2431.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Adrenal_gland_1041.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Adrenal_gland_1041.npy
19,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Breast_248.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Breast_248.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Cervix_1811.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Cervix_1811.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Colon_1699.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Colon_1699.npy
20,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Bile-duct_1267.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Bile-duct_1267.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_2595.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_2595.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_575.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_575.npy
21,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Esophagus_1159.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Esophagus_1159.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Breast_925.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Breast_925.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Breast_452.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Breast_452.npy
22,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Uterus_2551.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Uterus_2551.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Breast_248.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Breast_248.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Stomach_857.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Stomach_857.npy
23,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Uterus_2632.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Uterus_2632.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Cervix_1353.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Cervix_1353.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Thyroid_940.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Thyroid_940.npy
24,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Colon_1943.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Colon_1943.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Cervix_1751.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Cervix_1751.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/HeadNeck_1855.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/HeadNeck_1855.npy
25,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/HeadNeck_2018.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/HeadNeck_2018.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_1943.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_1943.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Skin_2296.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Skin_2296.npy
26,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Uterus_2549.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Uterus_2549.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_2009.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_2009.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Pancreatic_2184.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Pancreatic_2184.npy
27,/data114_2/shaozc/CellHE/PanNuke/Fold3/images/fold3/images/Colon_1388.png,/data114_2/shaozc/CellHE/PanNuke/Fold3/masks/fold3/masks/Colon_1388.npy,/data114_2/shaozc/CellHE/PanNuke/Fold1/images/fold1/images/Colon_1913.png,/data114_2/shaozc/CellHE/PanNuke/Fold1/masks/fold1/masks/Colon_1913.npy,/data114_2/shaozc/CellHE/PanNuke/Fold2/images/fold2/images/Testis_2363.png,/data114_2/shaozc/CellHE/PanNuke/Fold2/masks/fold2/masks/Testis_2363.npy
